codeIataAirport,airportName,codeIataCity,latitudeAirport,longitudeAirport,timezone,airportCity
AAF,Apalachicola Regional,AAF,29.733334,-84.98333,America/New_York,Apalachicola
ABE,Lehigh Valley International,ABE,40.651573,-75.434364,America/New_York,Allentown
ABI,Municipal,ABI,32.409443,-99.679726,America/Chicago,Abilene
DYS,Dyess AFB,ABI,32.466667,-99.71667,America/Chicago,Abilene
ABL,Ambler,ABL,67.0875,-157.84584,America/Anchorage,Ambler
ABQ,Albuquerque International,ABQ,35.049625,-106.617195,America/Denver,Albuquerque
ABR,Municipal,ABR,45.4525,-98.42611,America/Chicago,Aberdeen
ABY,Dougherty County,ABY,31.532223,-84.19611,America/New_York,Albany
NAB,Albany NAS,ABY,31.583332,-84.166664,America/New_York,Albany
ACB,Antrim County,ACB,44.983334,-85.21667,America/Detroit,Bellaire
ACK,Nantucket Memorial,ACK,41.256668,-70.05972,America/New_York,Nantucket
ACT,Municipal,ACT,31.609133,-97.22321,America/Chicago,Waco
CNW,TSTC Waco Airport,ACT,31.916668,-97.13333,America/Chicago,Waco
ACV,Arcata,ACV,40.970913,-124.106926,America/Los_Angeles,Arcata
ACY,Atlantic City International,AIY,39.450703,-74.572235,America/New_York,Atlantic City
JSL,Steel Pier Heliport,AIY,39.333332,-74.45,America/New_York,Atlantic City
ZRA,Atlantic City Railway Station,AIY,,,America/New_York,Atlantic City
ADG,Lenawee County,ADG,41.9,-84.03333,America/Detroit,Adrian
ADK,Adak Island Ns,ADK,51.88278,-176.64473,America/Adak,Adak Island
ADM,Ardmore Municipal Airport,ADM,34.303055,-97.01945,America/Chicago,Ardmore
AHD,Downtown,ADM,34.166668,-97.13333,America/Chicago,Ardmore
ADQ,Kodiak Airport,ADQ,57.755276,-152.51297,America/Anchorage,Kodiak
KDK,Municipal,ADQ,57.80722,-152.37,America/Anchorage,Kodiak
WDY,Kodiak Fss,ADQ,57.783333,-152.4,America/Anchorage,Kodiak
ADR,Andrews,ADR,33.45,-79.566666,America/New_York,Andrews
ADS,Addison Airport,DFW,32.783333,-97.3,America/Chicago,Dallas
AFW,Fort Worth Alliance,DFW,32.986668,-97.316666,America/Chicago,Dallas
DAL,Love Field,DFW,32.84391,-96.85,America/Chicago,Dallas
DFW,Dallas/Fort Worth International,DFW,32.89746,-97.036125,America/Chicago,Dallas
DNE,Dallas North Airport,DFW,32.75,-97.38333,America/Chicago,Dallas
FWH,Fort Worth NAS Jrb/Carswell Field,DFW,32.76389,-97.3,America/Chicago,Dallas
JDB,Downtown Heliport,DFW,32.766666,-97.316666,America/Chicago,Dallas
JMD,Market Centre Heliport,DFW,32.8,-97.333336,America/Chicago,Dallas
JNH,North Park Inn Heliport,DFW,32.816666,-97.35,America/Chicago,Dallas
RBD,Redbird,DFW,32.680832,-96.86833,America/Chicago,Dallas
ADT,Ada Municipal,ADT,34.8,-96.666664,America/Chicago,Ada
ADW,Andrews AFB,ADW,38.816666,-76.86667,America/New_York,Camp Springs
NSF,Andrews NAF,ADW,38.816666,-76.833336,America/New_York,Camp Springs
AED,Aleneva,AED,58.033333,-152.9,America/Anchorage,Aleneva
AEL,Albert Lea,AEL,43.65,-93.36667,America/Chicago,Albert Lea
AET,Allakaket,AET,66.56167,-152.65834,America/Anchorage,Allakaket
AEX,Alexandria International,AEX,31.321268,-92.53958,America/Chicago,Alexandria
ESF,Esler Field,AEX,31.395,-92.29694,America/Chicago,Alexandria
AFF,USAF Academy Airstrip,COS,38.833332,-104.7,America/Denver,Colorado Springs
COS,Colorado Springs,COS,38.79713,-104.70056,America/Denver,Colorado Springs
FCS,Butts AAF,COS,38.833332,-104.816666,America/Denver,Colorado Springs
AFN,Municipal,AFN,42.833332,-72.066666,America/New_York,Jaffrey
AFO,Municipal,AFO,42.733334,-110.933334,America/Denver,Afton
AGC,Allegheny County,PIT,40.35472,-79.93,America/New_York,Pittsburgh
CVA,Civic Ar Heli,PIT,40.496666,-80.23583,America/New_York,Pittsburgh
PIT,Pittsburgh International,PIT,40.49585,-80.25657,America/New_York,Pittsburgh
AGN,Angoon,AGN,57.503887,-134.58333,America/Juneau,Angoon
AGO,Municipal,AGO,33.266666,-93.23333,America/Chicago,Magnolia
AGS,Bush Field,AGS,33.373665,-81.973434,America/New_York,Augusta
DNL,Daniel Field,AGS,33.466667,-81.96667,America/New_York,Augusta
AHC,Amedee AAF,AHC,40.15,-120.13333,America/Los_Angeles,Herlong
AHF,Municipal,AHF,40.3,-99.9,America/Chicago,Arapahoe
AHH,Municipal,AHH,45.3,-92.35,America/Chicago,Amery
AHM,Sumner Parker Field,AHM,,,America/Los_Angeles,Ashland
AHN,Athens-Ben Epps,AHN,33.95195,-83.32472,America/New_York,Athens
AIA,Alliance,AIA,42.051666,-102.80666,America/Denver,Alliance
AIB,Anita Bay,AIB,56.233334,-132.38333,America/Sitka,Anita Bay
AID,Municipal,AID,40.166668,-85.683334,America/Indiana/Indianapolis,Anderson
AIK,Municipal,AIK,33.566666,-81.71667,America/New_York,Aiken
AIN,Wainwright,AIN,70.63333,-160.03334,America/Anchorage,Wainwright
AIO,Municipal,AIO,41.4,-95.01667,America/Chicago,Atlantic
AIV,George Downer,AIV,33.13333,-88.15,America/Chicago,Aliceville
AIZ,Lee C Fine Memorial,AIZ,38.09833,-92.54722,America/Chicago,Kaiser
AKB,Atka,AKB,52.21722,-174.20084,America/Adak,Atka
AKC,Fulton International,CAK,41.04,-81.46778,America/New_York,Akron/Canton
CAK,Akron/canton Regional,CAK,40.914963,-81.43583,America/New_York,Akron/Canton
AKI,Akiak,AKI,60.905556,-161.22333,America/Anchorage,Akiak
AKK,Akhiok SPB,AKK,56.944443,-154.16667,America/Anchorage,Akhiok
AKN,King Salmon,AKN,58.68274,-156.66902,America/Anchorage,King Salmon
AKO,Colorado Plains Regional Airport,AKO,40.166668,-103.21667,America/Denver,Akron
AKP,Anaktuvuk,AKP,68.1375,-151.74,America/Anchorage,Anaktuvuk
ALB,Albany International,ALB,42.745277,-73.809555,America/New_York,Albany
ALE,Alpine,ALE,30.416668,-103.75,America/Chicago,Alpine
ALI,International,ALI,27.75,-98.066666,America/Chicago,Alice
ALM,Municipal,ALM,32.845833,-105.985275,America/Denver,Alamogordo
HMN,Holloman AFB,ALM,32.9,-105.95,America/Denver,Alamogordo
ALN,Alton,ALN,38.891666,-90.04833,America/Chicago,Alton
ALO,Waterloo,ALO,42.55611,-92.39972,America/Chicago,Waterloo
ALS,Municipal,ALS,37.43667,-105.86667,America/Denver,Alamosa
ALW,Walla Walla,ALW,46.094723,-118.291115,America/Los_Angeles,Walla Walla
ALX,Thomas C Russell Field,ALX,32.933334,-85.95,America/Chicago,Alexander City
ALZ,Alitak SPB,ALZ,56.895832,-154.24583,America/Anchorage,Alitak
AMA,Rick Husband Amarillo International,AMA,35.218273,-101.70513,America/Chicago,Amarillo
TDW,Tradewind,AMA,35.216667,-101.833336,America/Chicago,Amarillo
AMK,Animas Airpark,DRO,37.15,-107.75,America/Denver,Durango
DRO,La Plata,DRO,37.15995,-107.751076,America/Denver,Durango
AMN,Gratiot Community,AMN,43.38333,-84.65,America/Detroit,Alma
AMW,Ames,AMW,41.994167,-93.61833,America/Chicago,Ames
ANA,John Wayne International,ANA,33.816666,-117.933334,America/Los_Angeles,Anaheim
ANB,Anniston Metropolitan,ANB,33.59028,-85.855835,America/Chicago,Anniston
QAW,Ft Mcclellan Bus Station,ANB,33.6598257,-85.8316318,America/Chicago,Anniston
RLI,Reilly AHP,ANB,33.666668,-85.85,America/Chicago,Anniston
ANC,Ted Stevens Anchorage International Airport,ANC,61.174442,-149.99638,America/Anchorage,Anchorage
